fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
4.9,-73.986092,40.751682,-73.977242,40.760292,1
9.3,-73.98042,40.738584,-73.985831,40.762835,1
10.1,-73.991075,40.749555,-73.968912,40.762377,1
19.5,-73.952205,40.773052,-73.934428,40.825667,2
3.7,-73.95195,40.784482,-73.956583,40.778083,5
4.1,-73.964333,40.764508,-73.961527,40.758868,1
5.0,-73.996553,40.742672,-73.993892,40.736105,1
5.7,-73.982468,40.757967,-73.99078,40.750905,1
21.7,-74.009468,40.703693,-73.951793,40.785975,5
5.7,-74.001262,40.733707,-73.98663,40.72973,2
69.0,-74.013156,40.709386,-74.177237,40.690996,1
4.5,-73.995085,40.72607,-73.990807,40.733935,1
16.0,-73.982292,40.731297,-73.992772,40.698091,1
3.0,-73.990756,40.766017,-73.987834,40.77005,2
18.1,-73.996122,40.724062,-73.981992,40.784642,1
6.1,-73.973274,40.74842,-73.987681,40.743876,1
9.7,-73.983596,40.765879,-74.004078,40.73292,2
4.9,-73.991675,40.727038,-73.988135,40.720292,3
8.5,-73.977855,40.775628,-73.948503,40.778322,1
14.0,-73.9055404663086,40.862850189208984,-73.94926452636719,40.78510665893555,4
9.0,-73.978313,40.766508,-73.956077,40.781719,1
5.7,-73.965972,40.76545,-73.959963,40.77874,1
10.5,-74.004462,40.737815,-73.979202,40.746245,1
12.9,-73.972802,40.748983,-74.011295,40.72879,1
9.7,-73.983988,40.780313,-73.951613,40.781225,1
10.1,-73.977993,40.742282,-74.008897,40.716048,1
4.5,-73.985848,40.752065,-73.979488,40.76027,1
6.1,-73.974367,40.750742,-73.958847,40.771978,1
4.5,-73.954587,40.773385,-73.962953,40.76949,1
6.5,-73.97755432128906,40.787193298339844,-73.96798706054688,40.80294418334961,1
3.3,-73.96553,40.795677,-73.970379,40.788934,1
5.3,-73.937635,40.758188,-73.937635,40.758188,5
6.5,-74.0079,40.724008,-74.00499,40.741822,1
4.1,-73.972273,40.786233,-73.961455,40.779758,5
14.1,-73.973852,40.764368,-74.005705,40.740334,1
5.5,-73.981822,40.746297,-73.971137,40.748435,1
6.1,-74.00162,40.735862,-73.988147,40.727933,1
6.0,-73.973642,40.758557,-73.96178,40.7598,1
4.0,-73.970579,40.758096,-73.971048,40.76128,1
5.3,-73.998288,40.735412,-74.00941,40.738233,4
15.5,-73.992122,40.725449,-73.99498,40.684424,1
6.0,-73.973082,40.743582,-73.982242,40.747492,5
4.0,-73.976605,40.755842,-73.981247,40.760815,1
6.9,-73.974735,40.778057,-73.968648,40.768157,5
6.1,-73.992657,40.739645,-73.995868,40.759278,1
9.7,-73.977402,40.774518,-73.99554,40.744251,2
21.7,-73.989848,40.741727,-73.96029,40.646207,1
9.0,-74.00862884521484,40.70430374145508,-74.01625061035156,40.716590881347656,1
7.7,-73.981827,40.773167,-73.987407,40.76299,1
4.9,-73.998895,40.744697,-73.989078,40.757883,3
7.3,-73.976994,40.787778,-73.964388,40.771474,1
6.5,0.0,0.0,0.0,0.0,1
8.5,-73.951895,40.781672,-73.9545,40.766017,4
14.5,-73.969945,40.757382,-73.920877,40.766697,2
29.5,-73.928498,40.769137,-73.9359,40.797183,1
3.7,-73.976312,40.765865,-73.969268,40.766992,1
3.7,-73.982683,40.766712,-73.991129,40.770232,2
11.5,-73.999364,40.74405,-73.995886,40.711485,1
6.5,-73.994146,40.76889,-73.987791,40.761125,1
7.0,-73.976273,40.788332,-73.982179,40.769029,1
14.5,-74.005187,40.706405,-73.972357,40.745565,5
4.1,-73.984563,40.769407,-73.980513,40.763838,5
9.0,-73.990177,40.756211,-73.977631,40.742408,2
7.5,-74.00148,40.72243,-73.98109,40.7209,1
5.7,-74.002277,40.740023,-74.004852,40.752025,1
14.9,-73.994169,40.74256,-74.001372,40.723823,1
7.5,-73.947658,40.704195,-73.966682,40.714897,1
34.5,-73.781753,40.644647,-73.933045,40.661262,1
13.5,-73.972362,40.786432,-73.966342,40.753992,2
10.5,-73.998327,40.735277,-73.97824,40.762623,1
8.5,-73.99186706542969,40.722129821777344,-74.00569915771484,40.7059211730957,1
6.9,-73.958652,40.799835,-73.95508,40.820117,2
3.3,-73.95304,40.780642,-73.95304,40.780642,5
13.3,-73.984985,40.77926,-73.98381,40.743529,1
14.5,-73.992395,40.748473,-73.971953,40.786354,1
18.0,-73.98539,40.759607,-74.004445,40.707297,2
9.0,-73.979555,40.765007,-73.965872,40.760037,1
57.33,-73.95483,40.774225,-73.783265,40.643807,1
23.7,-74.00118,40.730947,-73.905955,40.769668,1
9.5,-74.00994,40.713592,-73.995905,40.73039,1
35.83,-73.97073,40.75751,-73.86508,40.77055,1
10.0,-73.980662,40.774842,-73.955195,40.783375,1
45.0,-73.998455,40.723618,-73.78267,40.644696,1
20.0,-73.959801,40.77682,-73.982885,40.751506,3
9.7,-74.005893,40.71748,-73.993492,40.754907,1
11.0,-74.004325,40.742332,-73.976602,40.765272,1
5.3,-73.971382,40.760567,-73.969786,40.765885,1
14.1,-73.850417,40.837168,-73.850417,40.837168,5
9.7,-73.984861,40.724195,-73.992435,40.753833,4
8.0,-74.013005,40.716467,-74.007267,40.741727,2
4.0,-73.981452,40.759637,-73.97158,40.766312,1
7.7,-73.973315,40.747048,-73.973177,40.762977,1
57.33,-73.783805,40.646307,-74.003792,40.741885,1
16.5,-73.998457,40.681699,-73.996886,40.738291,3
13.3,-74.002763,40.733475,-73.968867,40.680392,1
15.5,-74.009122,40.717392,-73.974321,40.750273,1
10.5,-73.9762191772461,40.7567138671875,-73.97477722167969,40.78003692626953,1
11.5,-73.998399,40.755892,-74.007575,40.74097,1
5.3,-73.979107,40.776678,-73.990753,40.760951,1
6.9,-73.981327,40.75547,-73.965138,40.763806,1
